Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),,,,,,,,
2221,31,30.19607925,19.2156868,,,,,,,,
2441.25,31,90.98039246,29.01960754,,,,,,,,
2164.75,31,97.2549057,43.52941132,,,,,,,,
2238.25,31,96.07843018,22.35294151,,,,,,,,
2596.75,31,92.15686798,33.33333206,,,,,,,,
2562.5,31,93.72549438,36.07843018,,,,,,,,
2655.25,31,82.74510193,16.86274529,,,,,,,,
2635,31,93.72549438,37.25490189,,,,,,,,
2406.25,31,90.98039246,17.25490189,,,,,,,,
2489.75,30,43.92156982,19.2156868,,,,,,,,
2744.5,30,93.72549438,34.90196228,,,,,,,,
2217,30,28.62745094,15.29411793,,,,,,,,
2013.25,30,18.4313736,15.29411793,,,,,,,,
1914.75,31,18.4313736,15.29411793,,,,,,,,
1814.75,31,18.4313736,15.29411793,,,,,,,,
1708.5,31,19.2156868,15.29411793,,,,,,,,
1634.25,31,19.6078434,15.29411793,,,,,,,,
1555.25,31,20,15.29411793,,,,,,,,
1482.75,31,30.19607925,24.31372643,,,,,,,,
1861.5,31,88.23529816,28.62745094,,,,,,,,
2001.5,31,34.11764908,15.68627453,,,,,,,,
1548.25,31,47.84313965,29.80392265,,,,,,,,
2446,31,95.29412079,37.64706039,,,,,,,,
2514.75,31,95.6862793,38.82352829,,,,,,,,
2052.25,31,81.5686264,16.47058868,,,,,,,,
2553.75,31,96.47058868,40,,,,,,,,
2571.75,31,93.33333588,23.92156982,,,,,,,,
1945.25,31,25.09803963,16.47058868,,,,,,,,
1542,31,23.52941132,15.29411793,,,,,,,,
1615.5,31,20,15.29411793,,,,,,,,
1523.25,31,20.3921566,15.29411793,,,,,,,,
1712.5,31,21.56862831,18.4313736,,,,,,,,
1877.25,31,56.07843399,15.68627453,,,,,,,,
1473.25,31,22.35294151,15.68627453,,,,,,,,
1910.75,31,37.64706039,15.68627453,,,,,,,,
1789,31,36.47058868,23.52941132,,,,,,,,
2450.75,31,87.45098114,30.58823586,,,,,,,,
2458.5,31,87.84313965,30.98039246,,,,,,,,
2135,31,81.5686264,27.45098114,,,,,,,,
2052.25,31,87.05882263,27.45098114,,,,,,,,
1985,31,86.66667175,27.45098114,,,,,,,,
1897.5,31,31.37254906,15.68627453,,,,,,,,
1460,31,34.90196228,16.07843208,,,,,,,,
2431.25,31,90.98039246,31.37254906,,,,,,,,
2471.75,31,90.58823395,32.54901886,,,,,,,,
2519.5,31,90.19608307,30.19607925,,,,,,,,
2258.5,31,78.8235321,27.45098114,,,,,,,,
2108.5,31,86.27451324,27.84313774,,,,,,,,
2494.5,31,85.09803772,36.47058868,,,,,,,,
2103.75,31,24.31372643,15.29411793,,,,,,,,
